REFERENCE;ETABLISSEMENT;RESEAU;ACTIVIT;CONTACT;EMAILCONTACT;SITEWEB;TELEPHONE;FAX;HANDICAPS;CODEPOSTAL;ADRESSE;REGION;DEPARTEMENT;VILLE
2016-00307;Gite de Castang;Tourisme et Handicap;Meublé de tourisme;Mme Robin;m.d.robin@wanadoo.fr;;589722270;;"auditif ; mental ; moteur ; visuel";47310;21 Route de Plaichac;Aquitaine Limousin Poitou-Charentes;LOT-ET-GARONNE;LAPLUME
2016-00308;Gite Les Raquets;Tourisme et Handicap;Meublé de tourisme;Mme de Dreuille;"mpdreuille@free;fr";http://www.gites-de-france-allier.com;385444826;;"auditif ; mental ; moteur ; visuel";3470;Les raquets;Auvergne Rhône-Alpes;ALLIER;MONETAY-SUR-LOIRE
2016-00309;Les Lodges Le Pal;Tourisme et Handicap;Hébergement insolite;M.Picard;guillaumepicard@lepal.com;http://www.lepal.com;470426810;470420152;"auditif ; mental ; moteur ; visuel";3290;Saint Pourcain sur Besbre;Auvergne Rhône-Alpes;ALLIER;DOMPIERRE SUR BESBRE
2014-01000;Chambres d'hôtes Les Barbeyroux;Tourisme et Handicap;Chambre d'hôtes;M.Gailland;"frederic.gailland@orange;fr";http://;492231782;;"auditif ; mental ; moteur";5500;Hameau des Richards;Provence Alpes-Côte d'Azur;HAUTES-ALPES;SAINT-BONNET-EN-CHAMPSAUR
2015-00758;Sentier de l'Abbaye de Vauclair;Tourisme et Handicap;;M.Daudigny;sreve@cg02.fr;http://www.aisne.com;323246060;;"auditif ; mental ; moteur ; visuel";2013;Rue Paul Doumer;Nord-Pas de Calais Picardie;AISNE;LAON
2015-00759;Zone de baignade de Cazaux;Tourisme et Handicap;;M.Eroles;sarah.lamaysouette@latestedebuch.fr;http://;557730737;;"auditif ; mental ; moteur ; visuel";33260;Lac de Cazaux;Aquitaine Limousin Poitou-Charentes;GIRONDE;TESTE-DE-BUCH (LA)
2015-00760;Ferme pédagogique de Liart;Tourisme et Handicap;;M.Clarat;maison.thierache@wanadoo.fr;http://www.fermepedagogiqueliart.fr;324544833;;"auditif ; mental ; moteur ; visuel";8290;Rue des Gobins;Alsace Champagne-Ardenne Lorraine;ARDENNES;LIART
2015-00761;Gite de la Ferme Pédagogique;Tourisme et Handicap;Meublé de tourisme;M.Clarat;maison.thierache.08@wanadoo.fr;http://www.maisonthierache.fr;324544833;324544501;"auditif ; mental";8290;Rue des Gobins;Alsace Champagne-Ardenne Lorraine;ARDENNES;LIART
2015-00762;Gite de groupe Les Fleurs - Quen Chan'T le Guil;Tourisme et Handicap;Meublé de tourisme;Mme Séverine Dubosq;gite.aiguilles@gmail.com;http://www.gite-queyras.com;492467528;;"auditif ; mental ; moteur ; visuel";5470;Association Quen Chan'T Le Guil Le Village;Provence Alpes-Côte d'Azur;HAUTES-ALPES;AIGUILLES
2014-00345;Hôtel de la Butte;Tourisme et Handicap;Hôtel;M.Conraux;info@labutte.fr;http://www.labutte.fr;298254054;298254417;"auditif ; mental ; moteur ; visuel";29260;10 rue de la mer;Bretagne;FINISTERE;PLOUIDER
2015-00763;Gite de la Pouyade;Tourisme et Handicap;Meublé de tourisme;M.Vignaud;reservations@gitescharente.com;;545694882;;"auditif ; mental ; visuel";16500;;Aquitaine Limousin Poitou-Charentes;CHARENTE;ESSE
2015-00764;Studio Mondo Bisaro Le Ter;Tourisme et Handicap;Meublé de tourisme;Mme Rochet-Bisaro;mondobisaro@gmail.com;http://;660157039;;"auditif ; mental";16000;104ter rue Saint Roch;Aquitaine Limousin Poitou-Charentes;CHARENTE;ANGOULÊME
2015-00765;Studio Mondo Bisaro Le Bis;Tourisme et Handicap;Meublé de tourisme;Mme Rochet-Bisaro;mondobisaro@gmail.com;http://;660157039;;"auditif ; mental";16000;104bis rue Saint Roch;Aquitaine Limousin Poitou-Charentes;CHARENTE;ANGOULÊME
2015-00766;Maison de Claire et Bruno;Tourisme et Handicap;Meublé de tourisme;M.Lemaire;lemaire.clairebruno@free.fr;http://www.maison.claire.bruno.free.fr;545655539;;"auditif ; mental ; moteur ; visuel";16170;Impasse de la Chapelle - Le Temple;Aquitaine Limousin Poitou-Charentes;CHARENTE;ROUILLAC
2015-00767;Meublé La Pibole;Tourisme et Handicap;Meublé de tourisme;Mme Thillard;thillard-g@orange.fr;http://;545805358;;"auditif ; mental ; moteur ; visuel";16300;155 rue du Logis de l'Epine;Aquitaine Limousin Poitou-Charentes;CHARENTE;CRITEUIL-LA-MAGDELEINE
2015-00768;Gite La Maison Triangulaire;Tourisme et Handicap;Meublé de tourisme;Mme Denelle;relais@gitescharente.com;http://www.gitescharente.com;545694862;;"auditif ; mental ; visuel";16000;21 rue d'Iena;Aquitaine Limousin Poitou-Charentes;CHARENTE;ANGOULÊME
2015-00769;Office de tourisme du Pays du Ruffecois - Antenne de Ruffec;Tourisme et Handicap;Office de tourisme;Mme Bouchoux;accueil@ruffecois-tourisme.com;http://www.ruffecois-tourisme.com;545315891;;"auditif ; mental ; moteur";16700;;Aquitaine Limousin Poitou-Charentes;CHARENTE;RUFFEC
2015-00770;Office de tourisme du Pays du Ruffecois - Antenne d'Aigre;Tourisme et Handicap;Office de tourisme;Mme Desvars;accueil@ruffecois-tourisme.com;http://www.ruffecois-tourisme.com;545315891;;"auditif ; mental ; moteur";16140;;Aquitaine Limousin Poitou-Charentes;CHARENTE;AIGRE
2015-00771;Gite Les Sources de l'Andelle;Tourisme et Handicap;Meublé de tourisme;M.Richou-Carpentier;eugenie.carpentier@yahoo.fr;http://;663767780;;"mental ; moteur ; visuel";76440;19 rue du Bosc Aubin;Normandie;SEINE-MARITIME;FERTE-SAINT-SAMSON (LA)
2014-00118;Gite rural;Tourisme et Handicap;Meublé de tourisme;Mme Harlet;harlet.guislain@wanadoo.fr;http://;327617223;;"auditif ; visuel";59216;17 route de Dimechaux;Nord-Pas de Calais Picardie;NORD;DIMONT
2015-00772;Gite de groupe L'Etape Percheronne;Tourisme et Handicap;Meublé de tourisme;M.Boudet;commune-bazoche-gouet-28330@wanadoo.fr;http://;237492025;;"auditif ; mental ; visuel";28330;9 Route d'Authon;Centre -  Val de Loire;EURE-ET-LOIR;BAZOCHE-GOUET (LA)
2014-00346;Meublé de tourisme Les Ruchers de Surimeau;Tourisme et Handicap;Meublé de tourisme;M.Rodriguez;joamrvideira@hotmail.fr;http://;615778813;;"auditif ; mental ; moteur ; visuel";79000;143 rue du Chateau Menu Surimeau;Aquitaine Limousin Poitou-Charentes;DEUX-SEVRES;NIORT
2014-00347;Auberge de jeunesse;Tourisme et Handicap;Hébergement collectif;Mme Montigny;rochefort@fuaj.org;http://www.fuaj-aj-rochefort.fr;546997462;546873527;"auditif ; mental ; moteur ; visuel";17300;7 rue Maurice Chupin;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;ROCHEFORT
2014-00348;Chambre d'hôtes Menguy Demeure du Port;Tourisme et Handicap;Meublé de tourisme;M.Papazoglou;demeureduport@orange.fr;http://www.chambreppz.com;546854552;;"auditif ; mental ; moteur ; visuel";17320;25 rue des Martyrs La Cayenne;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;MARENNES
2014-00349;Château de Champs sur Marne;Tourisme et Handicap;Lieu de visite;Mme Maillé;jacqueline.maille@monuments-nationaux.fr;http://www.monuments-nationaux.fr;160052443;;"auditif ; mental";77420;31 rue de Paris;Ile-de-France;SEINE-ET-MARNE;CHAMPS-SUR-MARNE
2014-00350;Restaurant Le Trio Aumagnais;Tourisme et Handicap;Restaurant;M.Escloupier;"deruelle@sfr;fr";http://;516517530;;"auditif ; mental ; moteur ; visuel";17770;1 rue de Matha;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;AUMAGNE
2014-00351;Office municipal de Tourisme de Chatelaillon Plage;Tourisme et Handicap;Office de tourisme;M.Villain;office-tourisme@chatelaillonplage.fr;http://www.chatelaillon-plage-tourisme.fr;546562697;546565850;"auditif ; mental ; moteur ; visuel";17340;5 Avenue de Strasbourg;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;CHATELAILLON-PLAGE
2014-00352;Meublé Le Vallon;Tourisme et Handicap;Meublé de tourisme;Mme Charrassier;charrassier.gerard@orange.fr;http://www.;546905082;546905115;"auditif ; mental";17120;La Combe à Rioux;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;CHENAC-SAINT-SEURIN-D'UZET
2014-00353;Meublé l'Estuaire;Tourisme et Handicap;Meublé de tourisme;M.Charrassier;charrassier.gerard@orange.fr;http://;546905082;546905115;"auditif ; mental ; moteur ; visuel";17120;La Combe à Rioux;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;CHENAC-SAINT-SEURIN-D'UZET
2014-00354;Hotel Restaurant L'Auberge des Lacs Bleus;Tourisme et Handicap;Hotel-restaurant;M.Pasquet;aubergedeslacsbleus@orange.fr;http://;546704408;;"auditif ; mental ; visuel";17270;4 rue du Jeu de Quilles Le Bourg;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;CLERAC
2014-00355;Meublé de Tourisme Casseron;Tourisme et Handicap;Meublé de tourisme;Mme Casseron;m.casseron@gmail.com;http://;546096264;;"auditif ; mental ; moteur ; visuel";17630;Rue du Chiron Jaunet Impasse de la Liausse;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;FLOTTE EN RE (LA)
2014-00357;Chambres d'hôtes  Le Four à Pain;Tourisme et Handicap;Chambre d'hôtes;M.Manteneau;lesgalards@orange.fr;http://www.lesgalards.com;546045362;;"auditif ; mental ; moteur ; visuel";17210;Domaine les Galards;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;MONTLIEU-LA-GARDE
2014-00358;Meublé les Galards;Tourisme et Handicap;Meublé de tourisme;M.Manteneau;lesgalards@orange.fr;http://www.lesgalards.com;546045362;;"auditif ; mental ; visuel";17210;Domaine des Galards;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;MONTLIEU-LA-GARDE
2014-00359;Plage sud de Rivedoux;Tourisme et Handicap;Sport de nature;M.Raffarin;didbouyer@orange.fr;http://www.rivedoux-plage.fr;546098091;;"auditif ; mental ; moteur";17940;Avenue des Dunes;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;RIVEDOUX PLAGE
2014-00360;Gite du Four à Chaux;Tourisme et Handicap;Meublé de tourisme;M.Dangel;dangel973@orange.fr;http://;546843374;;"auditif ; mental ; moteur ; visuel";17450;854 Route des Fours à Chaux;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT LAURENT DE LA PRÉE
2014-00361;Chambres d'hôtes Les Fleurs des Champs;Tourisme et Handicap;Chambre d'hôtes;M.Besse;mc.besse@laposte.net;http://www.lesfleursdeschamps.com;546043637;;"auditif ; mental ; moteur ; visuel";17270;Impasse la Parcaud;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT-MARTIN-D'ARY
2014-00362;Office de Tourisme de la Saintonge Dorée;Tourisme et Handicap;Office de tourisme;M.Pipet;contact@saintongedoree.com;http://www.saintongedoree-tourisme.com;546326076;546332235;"auditif ; mental ; moteur ; visuel";17380;6 Grande Rue;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;TONNAY BOUTONNE
2014-00363;"Camping à la Ferme ""Chez Cellou""";Tourisme et Handicap;Camping;Mme Jumere Cachaou;famille.lumiere@laposte.net;http://www.roulottedevanzac.canalblog.com;674084179;;"auditif ; mental ; visuel";17500;Chez Cellou;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;VANZAC
2014-00364;Hotel Restaurant  Le saint Savinien;Tourisme et Handicap;Hotel-restaurant;M.Massias;stsavinien@orange.fr;http://www.le-stavinien.fr;546902033;;"auditif ; mental ; visuel";17350;27 rue de Champeroux;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT SAVINIEN SUR CHARENTE
2015-00773;Chambre d'hote Le Jardin Solstice;Tourisme et Handicap;Chambre d'hôtes;Mme Dupont;magalie.dupont@ymail.com;http://www.jardinsolstice.com;237811582;;"auditif ; mental ; moteur ; visuel";28240;5 rue de l'Hetre - Lieu dit la Floudiere;Centre -  Val de Loire;EURE-ET-LOIR;VAUPILLON
2015-00774;Gite de groupe de Saint Denis d'Aythou;Tourisme et Handicap;Meublé de tourisme;M.Lamirault;mairiestdenisdauthouàwanadoo.fr;http://;237494043;;"auditif ; mental ; visuel";28480;9 rue des Tilleuls;Centre -  Val de Loire;EURE-ET-LOIR;SAINT-DENIS-D'AUTHOU
2015-00775;Chambres d'hôtes La Bulle des Vies Denses;Tourisme et Handicap;Chambre d'hôtes;M.Plasse;pascal-guylaine@hotmail.fr;http://www.chambresdhotes-labulledesviesdenses.fr;237488119;;"auditif ; mental ; moteur ; visuel";28270;5 rue des autels - les Authieux;Centre -  Val de Loire;EURE-ET-LOIR;ESCORPAIN
2015-00776;Hotel entre Beauce et Perche;Tourisme et Handicap;Hôtel;M.Galloup;hotelchateaudun.logis@orange.fr;http://www.hotelchateaudunlogis.fr;237663000;237663001;"auditif ; mental ; moteur";28200;9 La Varenne Hodler;Centre -  Val de Loire;EURE-ET-LOIR;DONNEMAIN-SAINT-MAMES
2015-00199;Camping Le Cians;Tourisme et Handicap;Camping;Mme Orselli;campinglecians@yahoo.fr;http://www.camping-le-cians.fr;493025729;;"mental ; moteur ; visuel";6470;Route du Col de la Couillole;Provence Alpes-Côte d'Azur;ALPES-MARITIMES;BEUIL
2015-00218;Sentier d'interprétation de Verberie  AAPPMA;Tourisme et Handicap;Sport de nature;M.Denaes;Jean.denaes@free.fr;http://;688392291;;"auditif ; moteur";60800;56 route de Senlis;Nord-Pas de Calais Picardie;OISE;DUVY
2014-00367;Le Gouverneur Hôtel;Tourisme et Handicap;Hôtel;Mme Damm;hotellegouverneur@gmail.com;http://www.hotellegouverneur.com;388956372;388287443;"mental ; moteur ; visuel";67210;13 rue Sélestat;Alsace Champagne-Ardenne Lorraine;BAS-RHIN;OBERNAI
2014-01001;Gite Oléatherm;Tourisme et Handicap;Meublé de tourisme;Mme Collici;contact@oleatherm.com;http://www.oleatherm.com;467447399;;"auditif ; mental";34700;La Bruyere des Salces;Languedoc-Roussillon Midi-Pyrénées;HERAULT;SAINT-PRIVAT
2014-00368;Restaurant La Pierrevue;Tourisme et Handicap;Restaurant;M.Richard;lapierrevue@orange.fr;http://www.lapierrevue.fr;546316708;;"auditif ; mental ; moteur ; visuel";17220;2 Place de la Mairie;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT-ROGATIEN
2014-00369;Hôtel Restaurant Les Maraichers;Tourisme et Handicap;Hotel-restaurant;M.Olivier;lesmaraichers68@aol.com;http://www.les-maraichers.com;389241479;389244799;"mental ; moteur";68000;83 Route de Bâle;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;COLMAR
2014-00370;Ferme du Grand Hêtre Chambres d'hôtes;Tourisme et Handicap;Chambre d'hôtes;M.Spenle;jean-mathieu.spenle@orange.fr;http://www.grand-hetre.com;389776195;;"auditif ; mental ; visuel";68380;Le Grand Hêtre;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;MITTLACH
2014-00371;Hôtel Restaurant Ibis Centre Filature;Tourisme et Handicap;Hotel-restaurant;M.Lethiec;H1640@accor.com;http://www.ibishotel.com;389560956;389455357;"mental ; moteur";68100;34 Allée Nathan Katz;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;MULHOUSE
2014-00372;"Gite ""d'Hubert""";Tourisme et Handicap;Meublé de tourisme;Mme Stoeckle;stoeckle@wanadoo.fr;http://www.stoeckle.pagesperso-orange.fr;389270508;389273361;"auditif ; mental";68230;33 Grand'Rue;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;KATZENTHAL
2014-00373;Meublé de Mme Salvi;Tourisme et Handicap;Meublé de tourisme;Mme Salvi;salvi.isabelle@neuf.fr;http://;389781688;;"auditif ; mental";68240;33 Grand'Rue;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;KIENTZHEIM
2014-01002;Centre International de séjour;Tourisme et Handicap;Hébergement collectif;Mme Sigonney;"cis;besancon@wanadoo.fr";http://www.cis-besancon.com;381500754;381531179;"mental ; moteur ; visuel";25000;3 Avenue des Montboucons;Bourgogne Franche-Comté;DOUBS;BESANCON
2014-01003;Office de tourisme Intercommunal Chalaronne Centre;Tourisme et Handicap;Office de tourisme;Mme Djennat;contact@tourisme-en-dombes.com;http://www.tourisme-en-dombes.com;474550227;;"auditif ; mental";1400;Place du Champ de Foire;Auvergne Rhône-Alpes;AIN;CHATILLON SUR CHALARONNE
2014-01004;Gite La Jumenterie des Nefliers;Tourisme et Handicap;Meublé de tourisme;Mme Peltier;jumenteriedesnefliers@gmail.com;http://www.jdn-ecogite.com;615990802;;"auditif ; moteur";76110;335 Route du Pont;Normandie;SEINE-MARITIME;MENTHEVILLE
2014-01005;Gite Le sapin;Tourisme et Handicap;Meublé de tourisme;Mme Sahuquet;sahuquet@clos-sally.com;http://www.clos-sally.com;466592056;;"auditif ; mental";30190;Domaine Valonguette;Languedoc-Roussillon Midi-Pyrénées;GARD;ROUVIERE (LA)
2014-00378;Hôtel restaurant L'Ayguelade;Tourisme et Handicap;Hotel-restaurant;;hoel.ayguelade@wanadoo.fr;http://www.hotel-ayguelade.com;559826006;559826117;"auditif ; mental";64260;10 Quartier de L'Ayguelade;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;BIELLE
2014-00379;Chambres d'hôtes Les Gaillardieres;Tourisme et Handicap;Chambre d'hôtes;Mme Valérie Lucas;vpol1@hotmail.f;http://www.lesgaillardieres.fr;671771524;;"auditif ; mental ; moteur";14140;Les Gaillardieres;Normandie;CALVADOS;NOTRE-DAME-DE-COURSON
2014-00380;Gite Chez Batistin;Tourisme et Handicap;Meublé de tourisme;;chtigite.flandrin@gmail.com;http://;321983752;;"auditif ; moteur";62500;40 rue de la Poissonnerie;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;SAINT OMER
2015-00777;Meublé City Break Les Augustines;Tourisme et Handicap;Meublé de tourisme;Anne;lesaugustinesgmail.com;http://;667478022;;"auditif ; mental";76200;8 rue Asseline;Normandie;SEINE-MARITIME;DIEPPE
2014-01006;Chambres d'hôtes;Tourisme et Handicap;Chambre d'hôtes;Mme Raynier;valerieraynier09@orange.fr;http://;662888366;;"auditif ; mental ; moteur ; visuel";9270;Bellune;Languedoc-Roussillon Midi-Pyrénées;ARIEGE;MAZERES
2014-00381;Gite La Maison d'Edouard;Tourisme et Handicap;Meublé de tourisme;;;http://;549371977;549371979;"auditif ; mental";86380;La Baron;Aquitaine Limousin Poitou-Charentes;VIENNE;MARIGNY-BRIZAY
2015-00778;Gite du Moulin de Corbon;Tourisme et Handicap;Meublé de tourisme;M.Ouvrard;resa-gites@tourisme-vienne.com;http://www.gitesdefrance-vienne.com;549371977;549371979;"auditif ; mental ; moteur ; visuel";86380;;Aquitaine Limousin Poitou-Charentes;VIENNE;VENDEUVRE DU POITOU
2014-01007;Meublé Les Baronies;Tourisme et Handicap;Meublé de tourisme;Mme Mirouze;lilian.mirouze@orange.fr;http://;686946395;;"auditif ; mental ; moteur ; visuel";9700;Les Baronies;Languedoc-Roussillon Midi-Pyrénées;ARIEGE;BRIE
2014-00382;Centre Equestre de Montmirel;Tourisme et Handicap;Sport de nature;M.Guilbert;contact@centreequestredemontmirel.fr;http://www.centreequestredemontmirel.fr;233280273;;"auditif ; mental ; moteur ; visuel";61170;Chedouet;Normandie;ORNE;VENTES-DE-BOURSE (LES)
2014-00383;Office de Tourisme et du Thermalisme;Tourisme et Handicap;Office de tourisme;M.Perals;office@larocheposay.com;http://www.larocheposay.com;549191300;549862794;"auditif ; mental ; moteur";86270;14 Boulevard Victor Hugo;Aquitaine Limousin Poitou-Charentes;VIENNE;ROCHE-POSAY (LA)
2014-01008;Gite de Marquefaille;Tourisme et Handicap;Meublé de tourisme;M.Mitel;famali@free.fr;http://;650428402;;"auditif ; mental ; moteur ; visuel";3330;Lieu Dit Marquefaille;Auvergne Rhône-Alpes;ALLIER;LOUROUX-DE-BOUBLE
2014-01009;Office de tourisme du Canton de Milly La Forêt;Tourisme et Handicap;Office de tourisme;Mme Bodault;info@millylaforet-tourisme.fr;http://www.millylaforet-tourisme.com;164988317;;"auditif ; mental ; moteur ; visuel";91490;47 rue Langlois;Ile-de-France;ESSONNE;MILLY LA FORÊT
2014-01010;Gite La Maison d'Isidore;Tourisme et Handicap;Meublé de tourisme;M.Michel;resa-gites@tourisme-vienne.com;http://www.gitesdefrance-vienne.com;549570499;;"auditif ; visuel";86350;La Maison d'Isidore 9 rue de la Chaussée;Aquitaine Limousin Poitou-Charentes;VIENNE;USSON DU POITOU
2014-01011;Gite de groupe La Providence;Tourisme et Handicap;Meublé de tourisme;M.Dubus;contact@gite-laprovidence.fr;http://www.gite-laprovidence.fr;237239451;;"mental ; moteur";28300;3 bis rue de Berchères;Centre -  Val de Loire;EURE-ET-LOIR;JOUY
2014-01012;Camping Aux Cygnes d'Opal;Tourisme et Handicap;Camping;M.Tyson;contact@auxcygnesdopale.fr;http://www.auxcygnesdopale.fr;235945565;;"auditif ; mental ; moteur ; visuel";76340;Zone de Loisirs;Normandie;SEINE-MARITIME;BLANGY-SUR-BRESLE
2015-00219;Gite Chouette Cheveche;Tourisme et Handicap;Meublé de tourisme;M.Labourre;Pierre.labourree@wanadoo.fr;http://www.gites-de-france.com.;477632517;;"auditif ; mental";42540;Les Gouttes;Auvergne Rhône-Alpes;LOIRE;SAINT-JUST-LA-PENDUE
2015-00220;Gite Chouette Effraie;Tourisme et Handicap;Meublé de tourisme;M.Labourree;Pierre.labourree@wanadoo.fr;http://www.gites-de-france.com.;477632517;;"auditif ; mental";42540;Les Gouttes;Auvergne Rhône-Alpes;LOIRE;SAINT-JUST-LA-PENDUE
2015-00221;Gite Chouette Hulotte;Tourisme et Handicap;Meublé de tourisme;M.Labourree;Pierre.labourree@wanadoo.fr;http://www.gites-de-france.com.;477632517;;"auditif ; mental";42540;Les Gouttes;Auvergne Rhône-Alpes;LOIRE;SAINT-JUST-LA-PENDUE
2015-00222;Meublé de tourisme Seringat;Tourisme et Handicap;Meublé de tourisme;Mme Canivet;macrica@orange.fr;http://;546496302;;"auditif ; mental ; visuel";17500;8 rue du Pas de Garenne;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;JONZAC
2015-00223;Gite l'Hirondelle;Tourisme et Handicap;Meublé de tourisme;Mme Masse;g.c.masse@orange.fr;http://;321261674;;"auditif ; mental ; moteur ; visuel";62136;995 rue d'Enfer;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;LESTREM
2014-01013;Musée L'Aubette 19285;Tourisme et Handicap;Lieu de visite;M.Ries;camille.giertier@strasbourg.eu;http://www.musees.strasbourg@strasbourg.eu;388230873;;"auditif ; mental ; moteur";67000;31 Place Kleber;Alsace Champagne-Ardenne Lorraine;BAS-RHIN;STRASBOURG
2015-00224;Hôtel de la Cathédrale;Tourisme et Handicap;Hotel-restaurant;M.Correia;hoteldelacathedrale@gmail.com;http://wwwhoteldelacathédrale.fr.;344041022;;"auditif ; mental ; moteur";60000;11 rue de Chambiges;Nord-Pas de Calais Picardie;OISE;BEAUVAIS
2015-00225;Gite de groupe La Cavaliere;Tourisme et Handicap;Meublé de tourisme;M.Saumure;eams.st-secondin@orange.fr;http://www.villageaccueilgroupes.fr;549595118;;"auditif ; mental ; moteur ; visuel";86350;1 place de la Mairie;Aquitaine Limousin Poitou-Charentes;VIENNE;SAINT SECONDIN
2015-00226;Chambre d'hôtes La Ferme aux Charmes;Tourisme et Handicap;Chambre d'hôtes;M.Bonamy;contact@la-ferme-aux-charmes.fr;http://www.la-ferme-aux-charmes.fr.;981953387;;"auditif ; mental ; visuel";59740;5 Hameau le Quartier;Nord-Pas de Calais Picardie;NORD;SOLRE-LE-CHATEAU
2015-00227;Camping Campilo;Tourisme et Handicap;Camping;Mme Pilleniere;accueil@campilo.com;http://www.campilo.com;251316845;;"auditif ; mental ; moteur ; visuel";85430;L'Auroire;Pays de la Loire;VENDEE;AUBIGNY
2015-00228;Chambre d'hôtes le Bateau Ivre - Babord;Tourisme et Handicap;Chambre d'hôtes;Mme Moigneau;ana@lebateauivre.com;http://wwwgite-lebateauivre.com.;662269914;;"auditif ; mental ; moteur ; visuel";85180;122 avenue de Talmont;Pays de la Loire;VENDEE;CHATEAU D’OLONNE
2015-00229;EcoHebergements La Roussiere;Tourisme et Handicap;Meublé de tourisme;M.Baffou;Séjours.roussiere@gmail.com;http://wwweco-vacances.fr;243122156;;"auditif ; mental ; visuel";53400;la Roussière;Pays de la Loire;MAYENNE;ATHEE
2015-00237;Station LPO de l'Ile de Grande;Tourisme et Handicap;Sport de nature;M.Bentz;ile-grande@lpo.fr;http://www.sept-iles.lpo.fr;296919140;;"mental ; moteur";22560;Rue de Kastell Erek;Bretagne;COTES-D'ARMOR;PLEUMEUR BODOU
2015-00238;Location de vacances le Clos Lafayette;Tourisme et Handicap;Meublé de tourisme;Mme Monfrais;ariane-monfrais@gmail.com;http://www.lecloslafayette.com;473679509;;"auditif ; mental ; moteur ; visuel";63440;Les Margueridons;Auvergne Rhône-Alpes;PUY-DE-DOME;POUZOL
2015-00239;Camping de la Foret;Tourisme et Handicap;Camping;M.Galpin;campingsilleplage@wanadoo.fr;http://www.campingsilleplage.com;243201104;243208482;"auditif ; mental ; moteur ; visuel";72140;Sillé Plage;Pays de la Loire;SARTHE;SILLE LE GUILLAUME
2015-00303;SPA Centre de Balnéothérapie Les Gros Joncs;Tourisme et Handicap;Structure diverse;M.Cavel;info@balneoleron.com;http://www.balneoleron.com;546764908;546766774;"auditif ; mental ; moteur ; visuel";17190;Les Sables Vignier;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;SAINT GEORGES D'OLÉRON
2015-00304;Gite de groupe La Girardiere;Tourisme et Handicap;Meublé de tourisme;M.Girard;girardpaul@orange.fr;http://www.la-girardiere.com;474032837;474032837;"auditif ; mental ; moteur";69460;Lieu dit Le Fagolet;Auvergne Rhône-Alpes;RHONE;VAUX-EN-BEAUJOLAIS
2015-00305;Gite le Sonnenhof;Tourisme et Handicap;Meublé de tourisme;M.Boussit;lesonnenhof@gmail.com;http://www.lesonnenhof.net;389380153;;"auditif ; mental ; visuel";68780;Le Sonnenhof;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;DIEFMATTEN
2015-00306;Office de tourisme de Thann-Cernay;Tourisme et Handicap;Office de tourisme;M.Moritz;cernay@hautes-vosges-alsace.fr;http://www.hautes-vosges-alsace.fr;389755035;;"auditif ; mental ; moteur";68800;7 rue de la 1ere Armée;Alsace Champagne-Ardenne Lorraine;HAUT-RHIN;CERNAY
2015-00307;Promenade de la Voie Verte de l'Ailette;Tourisme et Handicap;Sport de nature;M.Delerot;contact@ailette.org;http://www.ailette.org;323248303;;"auditif ; mental ; visuel";2860;21 rue du Chemin des Dames;Nord-Pas de Calais Picardie;AISNE;CHAMOUILLE
2015-00308;Gite rural Aux Trésors d'Apolline;Tourisme et Handicap;Meublé de tourisme;Mme Abraham;contact@auxtresorsdapolline.fr;http://www.auxtresorsdapolline.fr;966941406;;"auditif ; mental ; moteur ; visuel";80560;2 bis rue Marie Marguerite;Nord-Pas de Calais Picardie;SOMME;ACHEUX-EN-AMIENOIS
2015-00331;Chambre d'hôtes La Marguerite 60;Tourisme et Handicap;Chambre d'hôtes;M.Nhylens;lamarguerite60@gmail.com;http://www.lamarguerite60.com;360193449;;"auditif ; mental ; moteur";60400;275 Grande Rue;Nord-Pas de Calais Picardie;OISE;BEAURAINS-LES-NOYON
