Name;lat;lon;Straße;Hausnummer;PLZ;Stadt;Land;Telefon;Rollstuhlgerecht (ja/nein/teilweise)?;Rollstuhl-Toilette (ja/nein)?;Info zur Rollstuhlgerechtigkeit
Wall City-Toilette;13,1970602056;52,5343785901;Rathaus Spandau / Altstädter Ring;;13597;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2011111111;52,5383333333;Moritzstr.;;13597;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,1970124317;52,5244093737;Pichelsdorfer Str.;;13595;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,14879;52,45244;Imchenplatz;;14089;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3428182602;52,4506835938;Steglitzer Damm;;12169;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3214325154;52,457269514;Schloßstr.;;12163;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3362051601;52,4510085071;Albrechtstr. / Steglitzer Damm;;12167;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3093197137;52,4309713956;Goerzallee;1-3;12207;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3392850424;52,4442288596;Leonorenstr.;;12247;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3043591357;52,4178368521;Ostpreußendamm / Wismaer Str.;;12207;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,326157;52,427696;Brauerstr.;;12209;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3879121809;52,4401587349;Alt-Mariendorf / Mariendorfer Damm;;12107;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4101617302;52,387778778;Im Domstift / Lichtenrader Damm;;12309;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,385392;52,470273;S-Bhf. Tempelhof / Tempelhofer Damm;108;12099;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3977851948;52,3867994205;Briesingstr. / S-Bhf. Lichtenrade;;12307;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3758364272;52,4557119854;Attilaplatz / Attilastr.;;12105;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3709958232;52,4225460114;Hranitzkistr.;;12277;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3868324213;52,4842403167;Platz der Luftbrücke / Tempelhofer Damm;;12101;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3620332305;52,4144702344;Marienfelder Allee / Malteser Str.;;12277;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3863208473;52,443873103;Mariendorfer Damm / Prinzenstr. 2;;12099;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3853706835;52,443903074;Mariendorfer Damm / Prinzenstr. 1;;12099;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,377623;52,463965;Manteuffelstr. (Bosepark) ggü.;9;12103;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3755391287;52,5163720171;Str. des 17. Juni;;10557;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3355016043;52,5249959546;Alt-Moabit;;10555;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,363;52,4998333333;Potsdamer Str.;109;10785;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3306064855;52,5274148886;Waldstr.;1;10551;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3480949659;52,5260930905;Turmstr.;;10178;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3742894166;52,5055704086;Linkstr.;;10785;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3483289012;52,5561112917;Edinburger Str.;38;13349;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3515952184;52,550382854;Seestr.;94;13353;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3952777778;52,5397777778;Stralsunder Str. (Fußgängerzone);;12623;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,35593646;52,555437;Ungarnstr.;;13349;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3695725398;52,5411870062;Weddingplatz / Reinickendorfer Str.;;13347;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3586066;52,5470043;Leopoldplatz, Müllerstr.;;13353;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3905;52,54475;Gustav-Meyer-Allee;;13355;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,33763709;52,55885577;Londoner Str.;;13349;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3779881542;52,5506834748;Pankstr.;;13357;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3843708022;52,5559614063;Osloer Str.;18;13359;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3250563841;52,494013819;Hohenzollerndamm;;10717;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,328286707;52,47900696;Bundesallee, Bundesplatz;6;10715;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3094509204;52,4733670547;Eberbacher Str. / Binger Str.;;14197;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2994932032;52,4954514676;Hochmeisterplatz / Westfälische Str.;;10709;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,33693;52,480497;Hans-Rosenthal-Platz , Kufsteiner Str.;;10825;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2902678521;52,4753693953;Berkaer Str. / Breitestr.;;14199;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3274845332;52,4864769488;Badensche Str.;29;10715;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2819763469;52,476941055;"Roseneck ; Hundekehlestr.";;14199;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3222880867;52,4973176679;Ludwigkirchplatz;;10719;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,263703;52,487504;Fontanestr.;;14193;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2401710898;52,4423428717;Argentinische Allee;;14163;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,259629;52,430962;S-Bhf. Zehlendorf, Teltower Damm;37-39;14165;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3086165433;52,4672098278;Breitenbachplatz;8;14195;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
